Concepto,Definición
Fondo metropolitano,"programa por medio del cual se destinan recursos económicos para atender las necesidades de las metrópolis del país bajo dos principios: el primero, corresponde a la tendencia acelerada de México a concentrar cada vez más población y actividad económica en zonas metropolitanas y, el segundo, el reconocimiento que una metrópoli es un territorio con peculiaridades tales que exige de una acción específica de parte del Estado Mexicano, particularmente porque para gobernarlas, administrarlas y planificarlas, se requiere de la concurrencia y coordinación de un conjunto de jurisdicciones político-administrativas que las integran y que impulsen la competitividad económica, la sustentabilidad y las capacidades productivas; la viabilidad y disminución de la vulnerabilidad o riesgos por fenómenos naturales, ambientales y los propiciados por la dinámica demográfica y económica; la consolidación urbana; y el aprovechamiento óptimo de las ventajas competitivas de funcionamiento regional, urbano y económico del espacio territorial de las zonas metropolitanas

Fuente: 
Secretaría de Desarrollo Agrario, Territorial y Urbano (SEDATU). Programa Sectorial de Desarrollo Agrario, Territorial y Urbano 2013-2018.

Sitio(s) web:
http://www.dof.gob.mx/nota_detalle.php?codigo=5326473&fecha=16/12/2013
"
Fraccionador,"la persona física o moral que el Ayuntamiento autoriza para realizar un fraccionamiento sobre un predio determinado

Fuente: 
Honorable Congreso del Estado de Sonora. (2006). Ley de Ordenamiento Territorial y Desarrollo Urbano del Estado de Sonora.

Sitio(s) web:
http://www.proteccioncivil.sonora.gob.mx/images/ordenamientoterritorial.pdf
"
Fraccionamiento,"la división de un terreno en dos o más lotes o manzanas que requieran del trazo de una o más vías públicas, así como la ejecución de obras de urbanización que le permitan la dotación de infraestructura, equipamiento y servicios urbanos

Fuente: 
Ley de asentamientos humanos, desarrollo urbano y ordenamiento territorial del estado de Hidalgo. (Art. 4. Frac. XV).

Sitio(s) web:
http://www.congreso-hidalgo.gob.mx/biblioteca_legislativa/Leyes/16Ley%20de%20Asentamientos%20Humanos,%20Desarrollo%20Urbano%20y%20Ordenamiento%20Territorial.pdf
"
Frente de manzana,"cada uno de los espacios que delimitan la manzana y que se identifican por el nombre de la vialidad o en su defecto por un rasgo

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Glosario de las características del entorno urbano.

Sitio(s) web:
https://www.inegi.org.mx/app/glosario/default.html?p=entorno
"
Fuente,"elemento urbano de ornato situado en lugares públicos con caños o surtidores de agua

Fuente: 
Secretaría de Desarrollo Social. (SD). Mobiliario Urbano. México: SEDESOL.

Sitio(s) web: 
No hay URLs
"
Fundación,"la acción de establecer un nuevo Asentamiento Humano

Fuente: 
Secretaría de Desarrollo Agrario, Territorial y Urbano (SEDATU). Ley General de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano. (Art. 3. Frac. XX).

Sitio(s) web:
http://dof.gob.mx/nota_detalle.php?codigo=5462755&fecha=28/11/2016
"
Fusión,"la unión en un solo predio de dos o más predios colindantes

Fuente: 
Secretaría de Desarrollo Urbano del Estado de Colima. (1994). Ley de Asentamientos Humanos del Estado de Colima. México: H. Congreso del Estado de Colima.

Sitio(s) web: 
No hay URLs
"
Ganadería,"actividad productiva (sector primario) que consiste en la cría y/o engorda de cerdos, vacas, toros, caballos, burros, borregos o cabras para el aprovechamiento de sus productos (carne, leche, piel y lana)

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Cuéntame: Glosario de términos.

Sitio(s) web:
http://cuentame.inegi.org.mx/glosario/default.aspx?tema=G
"
Generación de residuos sólidos urbanos,"la cantidad de desechos sólidos industriales y urbanos se calcula a partir del volumen generado en el lugar de producción

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Glosario de Estadísticas del medio ambiente.

Sitio(s) web:
https://www.inegi.org.mx/app/glosario/default.html?p=SCMA
"
Geodiversidad,"por la fragilidad que se reconoce en los sistemas homogéneos, ésta es considerada una plusvalía, una distinción positiva, una condición de resiliencia y de centralidad y, sobre todo en el dominio del turismo, un factor de atractividad, innovación y nuevas oportunidades

Fuente: 
Universidad de León (UDL). Diccionario de geografía aplicada y profesional, tecnología de análisis, planificación y gestión del territorio.

Sitio(s) web:
http://repositorio.inecc.gob.mx/ae/ae_005797.pdf
"
Geología,"ciencia que estudia la composición, estructura y desarrollo de la corteza terrestre y sus capas más profundas

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Glosario de Estadísticas del medio ambiente.

Sitio(s) web:
https://www.inegi.org.mx/app/glosario/default.html?p=SCMA
"
Gestión democrática de la ciudad,"entendida como el control y la participación de la sociedad, a través de formas directas y representativas, en el planteamiento y gobierno de las ciudades, priorizando el fortalecimiento y autonomía de las Administraciones Públicas locales y de las organizaciones populares

Fuente: 
Alejandro Medici. (S/D). El derecho a la ciudad. Poder local, participación y democracia. España: S/D.

Sitio(s) web: 
No hay URLs
"
Gestión de la movilidad,"conjunto de actuaciones encaminadas a implantar un modelo de movilidad más sostenible en un territorio o equipamiento

Fuente: 
Instituto Sindical de Trabajo, Ambiente y Salud, ISTAS. Glosario de movilidad sostenible. Página 50.

Sitio(s) web: 
No hay URLs
"
Gestión integral de residuos,"conjunto articulado e interrelacionado de acciones normativas, operativas, financieras, de planeación, administrativas, sociales, educativas, de monitoreo, supervisión y evaluación, para el manejo de residuos, desde su generación hasta la disposición final, a fin de lograr beneficios ambientales, la optimización económica de su manejo y su aceptación social, respondiendo a las necesidades y circunstancias de cada localidad o región

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Glosario: Estadísticas de gobierno; Censo nacional de gobierno, seguridad pública y sistema penitenciario estatales. (2020).

Sitio(s) web:
https://www.inegi.org.mx/app/glosario/default.html?p=CNGSPSPE2020
"
Gestión integral de riesgos,"el conjunto de acciones encaminadas a la identificación, análisis, evaluación, control y reducción de los riesgos, considerándolos por su origen multifactorial y en un proceso permanente de construcción que involucra a los tres órdenes de gobierno, así como a los sectores de la sociedad, lo que facilita la implementación de políticas públicas, estrategias y procedimientos que combatan las causas estructurales de los desastres y fortalezcan las capacidades de Resiliencia o resistencia de la sociedad. Comprende la identificación de los riesgos y, en su caso, su proceso de formación, previsión, prevención, mitigación, preparación, auxilio, recuperación y reconstrucción

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Glosario: Estadísticas de gobierno; Censo nacional de gobierno, seguridad pública y sistema penitenciario estatales. (2020).

Sitio(s) web:
https://www.inegi.org.mx/app/glosario/default.html?p=CNGSPSPE2020
"
Gestión urbanística,"medidas y actuaciones conducentes a la implementación del proceso de planificación, particularmente de los planes urbanísticos y de sus programas de realización, en un proceso continuo en el que planificación y gestión son indisociables

Fuente: 
Lorenzo López Trigal. (2015). Diccionario de Geografía Aplicada y Profesional Terminología de análisis, planificación y gestión del territorio. México: Universidad de León (Área de publicaciones).

Sitio(s) web: 
No hay URLs
"
Glorieta,"es una intersección en la red que tiene como propósito regular el flujo del tráfico

Fuente: 
Instituto Nacional de Estadística y Geografía. (2013). Documento Metodológico de la Estructura de la Red Nacional de Carreteras Etapa II y III del Modelado. México: INEGI.

Sitio(s) web: 
No hay URLs
"
Gobernanza,"es una serie de cambios gracias a los cuales se le da mayor capacidad de decisión e influencia a los actores no gubernamentales (sector empresarial, organizaciones de la sociedad civil, centros de pensamientos autónomos, organismos financieros internacionales) sobre el procesamiento de los asuntos públicos, y da cuenta de que han surgido nuevas formas de asociación y coordinación del gobierno con las organizaciones privadas y sociales en la implementación de las políticas y la prestación de servicios

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Glosario de Estadísticas Económicas: Encuestas en establecimientos; Encuesta nacional de calidad regulatoria e impacto gubernamental en empresas.

Sitio(s) web:
https://www.inegi.org.mx/app/glosario/default.html?p=encrige_2016
"
Gobernanza territorial,"refiere a la capacidad de las sociedades de resolver sus asuntos y de contribuir al desarrollo de sus territorios mediante la articulación y participación de diversos actores territoriales, entre ellos a) el Estado (gobernanza multinivel vertical), b) la sociedad civil, c) las agencias públicas localizadas territorialmente y d) el sector privado (gobernanza multinivel horizontal)

Fuente: 
Organización de las Naciones Unidas para la Alimentación y la Agricultura. (FAO). El nuevo modelo de gobernanza territorial en América Latina y el Caribe.

Sitio(s) web:
http://www.fao.org/in-action/agronoticias/detail/es/c/515540/#:~:text=La%20gobernanza%20territorial%20se%20refiere,sociedad%20civil%2C%20(iii)%20las
"
Gobierno estatal,"comprende un conjunto de unidades administrativas, centralizadas que dependen de las autoridades de este nivel de gobierno y que, en términos generales, se ubican en torno a los poderes Ejecutivo, Legislativo y Judicial

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Glosario de Estadísticas Económicas: Sistema de Cuentas Nacionales de México; Sistema de Cuentas Nacionales de México, series anuales.

Sitio(s) web:
https://www.inegi.org.mx/contenidos/programas/viviendasat/2008/doc/702825068875.pdf
"
Gobierno federal,"se integra por órganos centralizados, órganos desconcentrados, fondos y fideicomisos. Los órganos centralizados se agrupan en tres poderes: Ejecutivo, Legislativo y Judicial, que se crean por disposiciones jurídicas definidas en la Constitución Política de los Estados Unidos Mexicanos, en la Ley de la Administración Pública Federal y en leyes orgánicas y reglamentos internos de organización

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Glosario de Estadísticas Económicas: Sistema de Cuentas Nacionales de México; Sistema de Cuentas Nacionales de México, series anuales.

Sitio(s) web:
https://www.inegi.org.mx/contenidos/programas/viviendasat/2008/doc/702825068875.pdf
"
Grado de urbanización,"es el porcentaje de población que reside en áreas urbanas respecto a la población total. La definición de área urbana difiere entre países y en algunos casos, también cambian de un censo a otro

Fuente: 
Comisión Económica para América Latina (CEPAL). Observatorio Demográfico número 7 (abril 2009). División de Población de la CEPAL.

Sitio(s) web:
https://celade.cepal.org/redatam/pryesp/cairo/WebHelp/Metalatina/grado_de_urbanizacion.htm#:~:text=Definici%C3%B3n%3A,de%20un%20censo%20a%20otro.
"
Grieta,"hendidura alargada producida sobre un cuerpo sólido que separa el o los materiales en dos partes

Fuente: 
Definición realizada con base en el concepto manejado en la página de internet

Sitio(s) web:
https://definicion.de/grieta/
"
Hábitat,"área donde se dan un conjunto de condiciones ambientales (clima, suelo, agua) y biológicas que favorecen la vida y el desarrollo de las especies animales y vegetales

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Cuéntame: Glosario de términos. (2018).

Sitio(s) web:
http://cuentame.inegi.org.mx/glosario/default.aspx?tema=G
"
Habilitación,"la dotación de obras de cabeza y redes de infraestructura, viales, de agua potable, saneamiento y electricidad a un área o predio

Fuente: 
Programa de Ordenación de la Zona Conurbada Intermunicipal, en su Modalidad de Centro de Población de Cuernavaca, Emiliano Zapata, Jiutepec, Temixco y Xochitepec. Página 655.

Sitio(s) web:
http://sustentable.morelos.gob.mx/p-territorial/pozci-cvaca-glosario
"
Hacinamiento,"se consideran las viviendas de 2.5 ocupantes por dormitorio, de acuerdo con la metodología de Déficit habitacional elaborada por el Comité Técnico Especializado de Vivienda del INEGI

Fuente: 
Secretaría de Desarrollo Agrario, Territorial y Urbano (SEDATU). Programa Sectorial de Desarrollo Agrario, Territorial y Urbano 2013-2018.

Sitio(s) web:
http://www.dof.gob.mx/nota_detalle.php?codigo=5326473&fecha=16/12/2013
"
Hacinamiento urbano,"situación negativa producida a raíz de la excesiva aglomeración de personas y viviendas, agravado esto con la falta de sitios de expansión. Los habitantes, entonces, se ven constreñidos a vivir en lugares sobrepoblados, lo que afecta a su privacidad, y en un medio pobre en áreas verdes o de paseo que no les permite el descanso ni la recreación adecuada, todo lo cual tiene perjudiciales consecuencias en las personas

Fuente: 
Word press. Diccionario de Geografía Urbana.

Sitio(s) web:
https://diccionariourbana.wordpress.com/2015/05/19/hacinamiento-urbano/
"
